"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"15-24 years"	"15-24"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	12	2371149	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	12	2277222	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	10	4630881	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	11	4842136	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	15	2089451	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	15	2089451	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	45	2089451	2.2
	"Alabama"	"01"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	16	1793494	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	44	1793494	2.5
	"Alabama"	"01"	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	22	4563744	0.5
	"Alabama"	"01"	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	34	4563744	0.7
	"Alabama"	"01"	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	31	4666795	0.7
	"Alabama"	"01"	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	49	4666795	1.0
	"Alabama"	"01"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	15	2011405	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	12	2011405	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	12	2011405	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	16	2011405	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	31	2011405	1.5
	"Alabama"	"01"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	129	2011405	6.4
	"Alabama"	"01"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	18	1650786	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	12	1650786	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	33	1650786	2.0
	"Alabama"	"01"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	23	1650786	1.4
	"Alabama"	"01"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	156	1650786	9.5
	"Alabama"	"01"	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	24	4894410	0.5
	"Alabama"	"01"	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	14	4894410	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	32	4894410	0.7
	"Alabama"	"01"	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	10	4894410	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	137	4894410	2.8
	"Alabama"	"01"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	18	4930732	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	22	4930732	0.4
	"Alabama"	"01"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	49	4930732	1.0
	"Alabama"	"01"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	13	4930732	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	176	4930732	3.6
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	25	1962620	1.3
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	23	1962620	1.2
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	52	1962620	2.6
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	23	1962620	1.2
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	44	1962620	2.2
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	19	1962620	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	307	1962620	15.6
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	26	1630220	1.6
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	23	1630220	1.4
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	60	1630220	3.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	44	1630220	2.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	63	1630220	3.9
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	20	1630220	1.2
	"Alabama"	"01"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	414	1630220	25.4
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	11	5229316	Unreliable
