"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	"Alabama"	"01"	132	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Arizona"	"04"	99	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Arkansas"	"05"	63	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"California"	"06"	607	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Colorado"	"08"	67	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Connecticut"	"09"	76	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Delaware"	"10"	19	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"District of Columbia"	"11"	17	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Florida"	"12"	423	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Georgia"	"13"	139	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Hawaii"	"15"	25	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Idaho"	"16"	25	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Illinois"	"17"	293	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Indiana"	"18"	138	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Iowa"	"19"	66	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Kansas"	"20"	53	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Kentucky"	"21"	111	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Louisiana"	"22"	151	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Maine"	"23"	37	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Maryland"	"24"	134	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Massachusetts"	"25"	109	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Michigan"	"26"	249	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Minnesota"	"27"	122	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Mississippi"	"28"	43	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Missouri"	"29"	145	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Montana"	"30"	23	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Nebraska"	"31"	33	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Nevada"	"32"	27	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New Hampshire"	"33"	21	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New Jersey"	"34"	267	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New Mexico"	"35"	50	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New York"	"36"	411	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"North Carolina"	"37"	196	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"North Dakota"	"38"	22	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Ohio"	"39"	358	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Oklahoma"	"40"	100	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Oregon"	"41"	74	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Pennsylvania"	"42"	392	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Rhode Island"	"44"	30	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"South Carolina"	"45"	110	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"South Dakota"	"46"	23	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Tennessee"	"47"	120	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Texas"	"48"	455	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Utah"	"49"	49	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Vermont"	"50"	16	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Virginia"	"51"	129	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Washington"	"53"	114	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"West Virginia"	"54"	59	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Wisconsin"	"55"	120	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Wyoming"	"56"	14	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Alabama"	"01"	114	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Arizona"	"04"	103	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Arkansas"	"05"	72	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"California"	"06"	610	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Colorado"	"08"	39	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Connecticut"	"09"	75	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Delaware"	"10"	13	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"District of Columbia"	"11"	19	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Florida"	"12"	391	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Georgia"	"13"	115	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Hawaii"	"15"	20	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Idaho"	"16"	30	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Illinois"	"17"	263	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Indiana"	"18"	120	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Iowa"	"19"	59	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Kansas"	"20"	63	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Kentucky"	"21"	102	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Louisiana"	"22"	129	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Maine"	"23"	33	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Maryland"	"24"	135	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Massachusetts"	"25"	111	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Michigan"	"26"	222	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Minnesota"	"27"	123	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Mississippi"	"28"	44	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Missouri"	"29"	125	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Montana"	"30"	18	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Nebraska"	"31"	34	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Nevada"	"32"	17	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Hampshire"	"33"	38	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Jersey"	"34"	216	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Mexico"	"35"	55	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New York"	"36"	361	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"North Carolina"	"37"	187	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"North Dakota"	"38"	12	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Ohio"	"39"	305	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Oklahoma"	"40"	72	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Oregon"	"41"	86	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Pennsylvania"	"42"	325	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Rhode Island"	"44"	25	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"South Carolina"	"45"	94	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"South Dakota"	"46"	14	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Tennessee"	"47"	112	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Texas"	"48"	423	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Utah"	"49"	42	Not Applicable	Not Applicable
