"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	1341	4430141	30.3
	"1999"	"1999"	"Alaska"	"02"	67	624779	10.7
	"1999"	"1999"	"Arizona"	"04"	1063	5023823	21.2
	"1999"	"1999"	"Arkansas"	"05"	691	2651860	26.1
	"1999"	"1999"	"California"	"06"	6401	33499204	19.1
	"1999"	"1999"	"Colorado"	"08"	639	4226018	15.1
	"1999"	"1999"	"Connecticut"	"09"	691	3386401	20.4
	"1999"	"1999"	"Delaware"	"10"	179	774990	23.1
	"1999"	"1999"	"District of Columbia"	"11"	221	570213	38.8
	"1999"	"1999"	"Florida"	"12"	4357	15759421	27.6
	"1999"	"1999"	"Georgia"	"13"	1448	8045965	18.0
	"1999"	"1999"	"Hawaii"	"15"	211	1210300	17.4
	"1999"	"1999"	"Idaho"	"16"	267	1275674	20.9
	"1999"	"1999"	"Illinois"	"17"	3004	12359020	24.3
	"1999"	"1999"	"Indiana"	"18"	1591	6044969	26.3
	"1999"	"1999"	"Iowa"	"19"	684	2917634	23.4
	"1999"	"1999"	"Kansas"	"20"	650	2678338	24.3
	"1999"	"1999"	"Kentucky"	"21"	1133	4018053	28.2
	"1999"	"1999"	"Louisiana"	"22"	1687	4460811	37.8
	"1999"	"1999"	"Maine"	"23"	348	1266808	27.5
	"1999"	"1999"	"Maryland"	"24"	1422	5254509	27.1
	"1999"	"1999"	"Massachusetts"	"25"	1354	6317345	21.4
	"1999"	"1999"	"Michigan"	"26"	2587	9897116	26.1
	"1999"	"1999"	"Minnesota"	"27"	1249	4873481	25.6
	"1999"	"1999"	"Mississippi"	"28"	593	2828408	21.0
	"1999"	"1999"	"Missouri"	"29"	1554	5561948	27.9
	"1999"	"1999"	"Montana"	"30"	244	897507	27.2
	"1999"	"1999"	"Nebraska"	"31"	372	1704764	21.8
	"1999"	"1999"	"Nevada"	"32"	286	1934718	14.8
	"1999"	"1999"	"New Hampshire"	"33"	294	1222014	24.1
	"1999"	"1999"	"New Jersey"	"34"	2436	8359592	29.1
	"1999"	"1999"	"New Mexico"	"35"	517	1808082	28.6
	"1999"	"1999"	"New York"	"36"	3799	18882725	20.1
	"1999"	"1999"	"North Carolina"	"37"	2050	7949361	25.8
	"1999"	"1999"	"North Dakota"	"38"	203	644259	31.5
	"1999"	"1999"	"Ohio"	"39"	3675	11335454	32.4
	"1999"	"1999"	"Oklahoma"	"40"	986	3437147	28.7
	"1999"	"1999"	"Oregon"	"41"	860	3393941	25.3
	"1999"	"1999"	"Pennsylvania"	"42"	3742	12263805	30.5
	"1999"	"1999"	"Rhode Island"	"44"	236	1040402	22.7
	"1999"	"1999"	"South Carolina"	"45"	1118	3974682	28.1
	"1999"	"1999"	"South Dakota"	"46"	196	750412	26.1
	"1999"	"1999"	"Tennessee"	"47"	1436	5638706	25.5
	"1999"	"1999"	"Texas"	"48"	4931	20558220	24.0
	"1999"	"1999"	"Utah"	"49"	472	2203482	21.4
	"1999"	"1999"	"Vermont"	"50"	179	604683	29.6
	"1999"	"1999"	"Virginia"	"51"	1486	7000174	21.2
	"1999"	"1999"	"Washington"	"53"	1307	5842564	22.4
	"1999"	"1999"	"West Virginia"	"54"	734	1811799	40.5
	"1999"	"1999"	"Wisconsin"	"55"	1273	5332666	23.9
	"1999"	"1999"	"Wyoming"	"56"	135	491780	27.5
	"2000"	"2000"	"Alabama"	"01"	1321	4447100	29.7
	"2000"	"2000"	"Alaska"	"02"	87	626932	13.9
	"2000"	"2000"	"Arizona"	"04"	1012	5130632	19.7
	"2000"	"2000"	"Arkansas"	"05"	714	2673400	26.7
	"2000"	"2000"	"California"	"06"	6190	33871648	18.3
	"2000"	"2000"	"Colorado"	"08"	635	4301261	14.8
	"2000"	"2000"	"Connecticut"	"09"	683	3405565	20.1
	"2000"	"2000"	"Delaware"	"10"	193	783600	24.6
	"2000"	"2000"	"District of Columbia"	"11"	221	572059	38.6
	"2000"	"2000"	"Florida"	"12"	4449	15982378	27.8
	"2000"	"2000"	"Georgia"	"13"	1461	8186453	17.8
